timestamp,from_account,to_account,amount_inr,mode,note
2026-01-02 10:12:00,ACC9001,MERCH002,6500,debit_card,routine_noise
2026-01-02 12:36:00,ACC9002,MERCH002,6500,debit_card,routine_noise
2026-01-02 20:42:00,ACC9002,MERCH001,1200,debit_card,routine_noise
2026-01-03 10:32:00,CASH,ACC2002,49500,cash_deposit,structuring_deposit_0_2
2026-01-03 14:23:00,CASH,ACC2002,49500,cash_deposit,structuring_deposit_0_1
2026-01-03 16:04:00,CASH,ACC2002,49500,cash_deposit,structuring_deposit_0_0
2026-01-04 10:11:00,CASH,ACC2002,49500,cash_deposit,structuring_deposit_1_1
2026-01-04 11:51:00,CASH,ACC2002,49500,cash_deposit,structuring_deposit_1_2
2026-01-04 15:57:00,CASH,ACC2002,49500,cash_deposit,structuring_deposit_1_0
2026-01-04 16:47:00,ACC9002,ACC9001,2500,upi,routine_noise
2026-01-05 11:38:00,ACC9001,MERCH001,480,upi,routine_noise
2026-01-05 13:04:00,CASH,ACC2002,49500,cash_deposit,structuring_deposit_2_1
2026-01-05 13:55:00,CASH,ACC2002,49500,cash_deposit,structuring_deposit_2_2
2026-01-05 14:02:00,CASH,ACC2002,49500,cash_deposit,structuring_deposit_2_0
2026-01-05 15:26:00,ACC9001,UTIL001,2500,debit_card,routine_noise
2026-01-06 10:05:00,ACC9001,UTIL001,3800,upi,routine_noise
2026-01-06 13:10:00,ACC2002,ACC3003,145000,neft,layering_hop_1
2026-01-06 13:48:00,ACC3003,ACC1001,140000,neft,layering_hop_2
2026-01-06 15:25:00,ACC1001,CASH,135000,atm_withdrawal,layering_exit
2026-01-08 14:08:00,ACC9001,UTIL001,1200,upi,routine_noise
2026-01-08 17:45:00,ACC9001,MERCH002,480,upi,routine_noise
2026-01-13 11:05:00,ACC2003,ACC3003,92000,imps,layering_hop_1
2026-01-13 11:56:00,ACC3003,ACC1002,90000,imps,layering_hop_2
2026-01-13 13:08:00,ACC9002,UTIL001,480,debit_card,routine_noise
2026-01-13 20:50:00,ACC9002,MERCH001,480,upi,routine_noise
2026-01-14 10:28:00,ACC9001,MERCH001,1200,debit_card,routine_noise
2026-01-14 14:31:00,ACC9001,MERCH002,250,upi,routine_noise
2026-01-16 08:10:00,ACC9001,ACC9002,2500,debit_card,routine_noise
2026-01-17 20:54:00,ACC9002,MERCH002,6500,debit_card,routine_noise
2026-01-18 13:00:00,ACC3003,ACC1002,295000,rtgs,fence_settlement
2026-01-19 16:19:00,ACC9001,ACC9002,480,debit_card,routine_noise
2026-01-20 16:00:00,ACC1002,ACC1001,177000,neft,kickback_kingpin
2026-01-21 18:15:00,ACC9001,MERCH002,750,upi,routine_noise
2026-01-26 09:57:00,ACC9002,MERCH002,6500,debit_card,routine_noise
2026-01-29 21:54:00,ACC9002,UTIL001,480,upi,routine_noise
2026-01-31 17:01:00,ACC9002,UTIL001,3800,debit_card,routine_noise
2026-02-01 14:01:00,ACC9001,MERCH001,480,debit_card,routine_noise
2026-02-01 17:31:00,ACC9002,UTIL001,6500,upi,routine_noise
2026-02-04 13:00:00,ACC3003,ACC1002,175000,rtgs,fence_settlement
2026-02-04 13:38:00,ACC9001,MERCH001,480,upi,routine_noise
2026-02-05 11:57:00,ACC9001,MERCH001,6500,debit_card,routine_noise
2026-02-05 16:22:00,ACC9001,ACC9002,6500,upi,routine_noise
2026-02-06 14:00:00,ACC1002,ACC1001,105000,neft,kickback_kingpin
2026-02-07 20:25:00,ACC9002,UTIL001,3800,debit_card,routine_noise
2026-02-10 11:04:00,ACC9002,UTIL001,480,upi,routine_noise
2026-02-15 12:17:00,ACC9001,MERCH002,1200,upi,routine_noise
2026-02-15 18:19:00,ACC9002,MERCH001,750,upi,routine_noise
2026-02-17 17:06:00,ACC9002,MERCH001,2500,upi,routine_noise
2026-02-17 21:04:00,ACC9001,UTIL001,250,upi,routine_noise
2026-02-19 15:00:00,ACC3003,ACC1002,210000,rtgs,fence_settlement
2026-02-20 14:42:00,ACC9001,MERCH001,480,upi,routine_noise
2026-02-20 14:43:00,ACC9002,MERCH001,1200,upi,routine_noise
2026-02-21 19:00:00,ACC1002,ACC1001,126000,neft,kickback_kingpin
2026-02-22 20:13:00,ACC9001,UTIL001,1200,debit_card,routine_noise
2026-02-28 12:00:00,ACC3003,ACC1001,850000,rtgs,land_deal_payment
2026-03-01 09:10:00,ACC9002,MERCH001,6500,debit_card,routine_noise
2026-03-01 15:00:00,ACC1001,ACC3003,400000,neft,partial_return
2026-03-03 17:32:00,ACC9002,UTIL001,750,debit_card,routine_noise
2026-03-04 19:35:00,ACC9002,MERCH002,3800,debit_card,routine_noise
2026-03-09 13:45:00,ACC9002,MERCH001,3800,debit_card,routine_noise
2026-03-09 13:58:00,ACC9002,MERCH001,2500,upi,routine_noise
2026-03-09 14:50:00,ACC9001,MERCH001,3800,debit_card,routine_noise
